Temperature (C),Temperature (K),Salinity,Concentration (mg/l),Concentration (micromol/dm3)
0,273.15,0,14.621,456.923384626924
1,274.15,0,14.216,444.266659999751
2,275.15,0,13.829,432.172456467118
3,276.15,0,13.46,420.640774029027
4,277.15,0,13.107,409.609110341638
5,278.15,0,12.77,399.077465404953
6,279.15,0,12.448,389.014588047052
7,280.15,0,12.139,379.357975924098
8,281.15,0,11.843,370.107629036089
9,282.15,0,11.56,361.263547383027
10,283.15,0,11.288,352.763228621074
11,284.15,0,11.027,344.606672750229
12,285.15,0,10.777,336.793879770492
13,286.15,0,10.537,329.293598509945
14,287.15,0,10.306,322.074577796668
15,288.15,0,10.084,315.136817630662
16,289.15,0,9.87,308.449066840007
17,290.15,0,9.665,302.042576596623
18,291.15,0,9.467,295.854844556671
19,292.15,0,9.276,289.885870720152
20,293.15,0,9.092,284.135655087066
21,294.15,0,8.915,278.604197657412
22,295.15,0,8.743,273.228996087354
23,296.15,0,8.578,268.072552720727
24,297.15,0,8.418,263.072365213696
25,298.15,0,8.263,258.228433566259
26,299.15,0,8.113,253.540757778417
27,300.15,0,7.968,249.00933785017
28,301.15,0,7.828,244.634173781517
29,302.15,0,7.691,240.352763228621
30,303.15,0,7.559,236.22760853532
31,304.15,0,7.43,232.196207357776
32,305.15,0,7.305,228.289810867908
33,306.15,0,7.183,224.477167893796
34,307.15,0,7.065,220.789529607361
35,308.15,0,6.95,217.195644836682
36,309.15,0,6.837,213.664262409841
37,310.15,0,6.727,210.226633498756
38,311.15,0,6.62,206.882758103429
39,312.15,0,6.515,203.60138505194
40,313.15,0,6.412,200.382514344288
0,273.15,5,14.12,441.266547495532
1,274.15,5,13.733,429.172343962899
2,275.15,5,13.364,417.640661524808
3,276.15,5,13.012,406.640249009338
4,277.15,5,12.674,396.077352900734
5,278.15,5,12.352,386.014475542833
6,279.15,5,12.043,376.357863419879
7,280.15,5,11.748,367.138767703789
8,281.15,5,11.465,358.294686050727
9,282.15,5,11.194,349.825618460693
10,283.15,5,10.934,341.700313761766
11,284.15,5,10.684,333.88752078203
12,285.15,5,10.444,326.387239521482
13,286.15,5,10.214,319.199469980125
14,287.15,5,9.993,312.292960986037
15,288.15,5,9.78,305.636461367302
16,289.15,5,9.575,299.229971123918
17,290.15,5,9.378,293.073490255885
18,291.15,5,9.188,287.135767591285
19,292.15,5,9.005,281.416803130118
20,293.15,5,8.829,275.916596872383
21,294.15,5,8.658,270.572646474243
22,295.15,5,8.494,265.447454279536
23,296.15,5,8.335,260.478517944423
24,297.15,5,8.181,255.665837468905
25,298.15,5,8.032,251.009412852982
26,299.15,5,7.888,246.509244096654
27,300.15,5,7.748,242.134080028001
28,301.15,5,7.613,237.915171818944
29,302.15,5,7.482,233.821268297561
30,303.15,5,7.354,229.821118291936
31,304.15,5,7.231,225.977224145906
32,305.15,5,7.11,222.195832343713
33,306.15,5,6.993,218.539445229196
34,307.15,5,6.879,214.976811630436
35,308.15,5,6.768,211.507931547433
36,309.15,5,6.659,208.101553808268
37,310.15,5,6.553,204.78892958486
38,311.15,5,6.45,201.570058877208
39,312.15,5,6.349,198.413690513395
40,313.15,5,6.249,195.2885733215
0,273.15,10,13.636,426.140980286761
1,274.15,10,13.266,414.578046676751
2,275.15,10,12.914,403.577634161282
3,276.15,10,12.577,393.045989224596
4,277.15,10,12.255,382.983111866696
5,278.15,10,11.947,373.35775091566
6,279.15,10,11.652,364.13865519957
7,280.15,10,11.369,355.294573546508
8,281.15,10,11.099,346.856757128393
9,282.15,10,10.839,338.731452429467
10,283.15,10,10.59,330.949910621649
11,284.15,10,10.351,323.48088053302
12,285.15,10,10.122,316.324362163582
13,286.15,10,9.901,309.417853169494
14,287.15,10,9.689,302.792604722677
15,288.15,10,9.485,296.417365651212
16,289.15,10,9.289,290.292135955099
17,290.15,10,9.1,284.385664462418
18,291.15,10,8.917,278.66670000125
19,292.15,10,8.742,273.197744915435
20,293.15,10,8.572,267.885045689214
21,294.15,10,8.409,262.791104666425
22,295.15,10,8.251,257.853419503232
23,296.15,10,8.098,253.071990199633
24,297.15,10,7.95,248.446816755629
25,298.15,10,7.807,243.977899171219
26,299.15,10,7.669,239.665237446405
27,300.15,10,7.535,235.477580409266
28,301.15,10,7.404,231.383676887884
29,302.15,10,7.278,227.446029226096
30,303.15,10,7.155,223.602135080066
31,304.15,10,7.036,219.883245621711
32,305.15,10,6.92,216.258109679113
33,306.15,10,6.807,212.726727252272
34,307.15,10,6.698,209.320349513107
35,308.15,10,6.59,205.945222945861
36,309.15,10,6.486,202.69510106629
37,310.15,10,6.384,199.507481530558
38,311.15,10,6.284,196.382364338663
39,312.15,10,6.186,193.319749490606
40,313.15,10,6.09,190.319636986387
0,273.15,15,13.167,411.484180656775
1,274.15,15,12.815,400.483768141306
2,275.15,15,12.478,389.952123204621
3,276.15,15,12.157,379.920497018639
4,277.15,15,11.849,370.295136067603
5,278.15,15,11.554,361.076040351514
6,279.15,15,11.2273,350.866282485594
7,280.15,15,11.003,343.856644624174
8,281.15,15,10.744,335.762591097167
9,282.15,15,10.495,327.981049289349
10,283.15,15,10.257,320.543270372639
11,284.15,15,10.028,313.386752003201
12,285.15,15,9.809,306.542745352951
13,286.15,15,9.597,299.917496906134
14,287.15,15,9.394,293.573509006588
15,288.15,15,9.199,287.479530482393
16,289.15,15,9.01,281.573058989712
17,290.15,15,8.829,275.916596872383
18,291.15,15,8.654,270.447641786567
19,292.15,15,8.486,265.197444904184
20,293.15,15,8.323,260.103503881396
21,294.15,15,8.166,255.197069890121
22,295.15,15,8.014,250.446891758441
23,296.15,15,7.868,245.884220658275
24,297.15,15,7.726,241.446554245785
25,298.15,15,7.588,237.13389252097
26,299.15,15,7.455,232.97748665575
27,300.15,15,7.326,228.946085478206
28,301.15,15,7.201,225.039688988337
29,302.15,15,7.08,221.258297186145
30,303.15,15,6.962,217.570658899709
31,304.15,15,6.847,213.97677412903
32,305.15,15,6.735,210.476642874108
33,306.15,15,6.627,207.101516306862
34,307.15,15,6.521,203.788892083453
35,308.15,15,6.417,200.538770203883
36,309.15,15,6.317,197.413653011988
37,310.15,15,6.218,194.319786992012
38,311.15,15,6.122,191.319674487794
39,312.15,15,6.028,188.382064327413
40,313.15,15,5.935,185.47570533895
0,273.15,20,12.714,397.327399777492
1,274.15,20,12.378,386.827006012726
2,275.15,20,12.057,376.795379826744
3,276.15,20,11.75,367.201270047627
4,277.15,20,11.456,358.013425503457
5,278.15,20,11.175,349.231846194233
6,279.15,20,10.905,340.794029776117
7,280.15,20,10.647,332.731227421029
8,281.15,20,10.4,325.012187957049
9,282.15,20,10.162,317.574409040339
10,283.15,20,9.934,310.449141842819
11,284.15,20,9.715,303.60513519257
12,285.15,20,9.505,297.042389089591
13,286.15,20,9.303,290.729652361964
14,287.15,20,9.108,284.635673837769
15,288.15,20,8.921,278.791704688926
16,289.15,20,8.74,273.135242571597
17,290.15,20,8.567,267.728789829619
18,291.15,20,8.399,262.478592947236
19,292.15,20,8.237,257.415903096366
20,293.15,20,8.081,252.540720277011
21,294.15,20,7.93,247.82179331725
22,295.15,20,7.785,243.290373389002
23,296.15,20,7.644,238.883958148431
24,297.15,20,7.508,234.633798767454
25,298.15,20,7.376,230.508644074153
26,299.15,20,7.248,226.508494068528
27,300.15,20,7.124,222.633348750578
28,301.15,20,7.003,218.851956948386
29,302.15,20,6.886,215.195569833869
30,303.15,20,6.773,211.664187407028
31,304.15,20,6.662,208.195307324025
32,305.15,20,6.555,204.851431928698
33,306.15,20,6.45,201.570058877208
34,307.15,20,6.348,198.382439341476
35,308.15,20,6.249,195.2885733215
36,309.15,20,6.152,192.257209645362
37,310.15,20,6.057,189.288348313062
38,311.15,20,5.964,186.3819893246
39,312.15,20,5.873,183.538132679976
40,313.15,20,5.784,180.756778379189
0,273.15,25,12.277,383.670637648912
1,274.15,25,11.956,373.63901146293
2,275.15,25,11.65,364.076152855733
3,276.15,25,11.356,354.888308311562
4,277.15,25,11.076,346.137980174257
5,278.15,25,10.807,337.73141492806
6,279.15,25,10.55,329.699863744891
7,280.15,25,10.303,321.980824280911
8,281.15,25,10.066,314.574296536121
9,282.15,25,9.839,307.48028051052
10,283.15,25,9.621,300.667525032189
11,284.15,25,9.412,294.136030101129
12,285.15,25,9.21,287.823293373502
13,286.15,25,9.017,281.791817193145
14,287.15,25,8.83,275.947848044302
15,288.15,25,8.651,270.35388827081
16,289.15,25,8.478,264.947435528833
17,290.15,25,8.311,259.728489818369
18,291.15,25,8.151,254.728302311337
19,292.15,25,7.996,249.8843706639
20,293.15,25,7.846,245.196694876058
21,294.15,25,7.701,240.665274947811
22,295.15,25,7.562,236.321362051077
23,296.15,25,7.426,232.0712026701
24,297.15,25,7.295,227.977299148718
25,298.15,25,7.169,224.039651486931
26,299.15,25,7.046,220.195757340901
27,300.15,25,6.926,216.445616710627
28,301.15,25,6.811,212.851731939948
29,302.15,25,6.698,209.320349513107
30,303.15,25,6.589,205.913971773942
31,304.15,25,6.483,202.601347550533
32,305.15,25,6.379,199.351225670963
33,306.15,25,6.279,196.226108479068
34,307.15,25,6.181,193.163493631011
35,308.15,25,6.085,190.163381126792
36,309.15,25,5.991,187.225770966411
37,310.15,25,5.9,184.381914321787
38,311.15,25,5.81,181.569308849082
39,312.15,25,5.722,178.819205720215
40,313.15,25,5.636,176.131604935185
0,273.15,30,11.854,370.451391927198
1,274.15,30,11.548,360.88853332
2,275.15,30,11.256,351.763191119667
3,276.15,30,10.976,343.012862982362
4,277.15,30,10.708,334.637548908085
5,278.15,30,10.452,326.637248896834
6,279.15,30,10.206,318.949460604773
7,280.15,30,9.97,311.574184031902
8,281.15,30,9.744,304.51141917822
9,282.15,30,9.526,297.698663699889
10,283.15,30,9.318,291.198419940748
11,284.15,30,9.118,284.948185556959
12,285.15,30,8.925,278.916709376602
13,286.15,30,8.739,273.103991399678
14,287.15,30,8.561,267.541282798105
15,288.15,30,8.389,262.166081228046
16,289.15,30,8.224,257.00963786142
17,290.15,30,8.064,252.009450354389
18,291.15,30,7.91,247.196769878871
19,292.15,30,7.761,242.540345262948
20,293.15,30,7.618,238.071427678538
21,294.15,30,7.479,233.727514781805
22,295.15,30,7.345,229.539857744666
23,296.15,30,7.215,225.477205395203
24,297.15,30,7.089,221.539557733415
25,298.15,30,6.967,217.726914759304
26,299.15,30,6.849,214.039276472868
27,300.15,30,6.735,210.476642874108
28,301.15,30,6.623,206.976511619186
29,302.15,30,6.515,203.60138505194
30,303.15,30,6.41,200.32001200045
31,304.15,30,6.308,197.132392464718
32,305.15,30,6.209,194.038526444742
33,306.15,30,6.112,191.007162768604
34,307.15,30,6.017,188.038301436304
35,308.15,30,5.925,185.163193619761
36,309.15,30,5.834,182.319336975137
37,310.15,30,5.746,179.56923384627
38,311.15,30,5.66,176.88163306124
39,312.15,30,5.575,174.22528344813
40,313.15,30,5.493,171.662687350776
0,273.15,35,11.445,357.669662612348
1,274.15,35,11.154,348.575571583935
2,275.15,35,10.875,339.856494618549
3,276.15,35,10.608,331.51243171619
4,277.15,35,10.352,323.512131704939
5,278.15,35,10.107,315.855594584797
6,279.15,35,9.872,308.511569183845
7,280.15,35,9.647,301.480055502082
8,281.15,35,9.431,294.729802367589
9,282.15,35,9.223,288.229558608448
10,283.15,35,9.024,282.010575396578
11,284.15,35,8.832,276.01035038814
12,285.15,35,8.648,270.260134755054
13,286.15,35,8.471,264.7286773254
14,287.15,35,8.3,259.38472692726
15,288.15,35,8.135,254.228283560634
16,289.15,35,7.976,249.259347225521
17,290.15,35,7.823,244.477917921922
18,291.15,35,7.676,239.883995649837
19,292.15,35,7.533,235.415078065428
20,293.15,35,7.396,231.133667512532
21,294.15,35,7.262,226.946010475393
22,295.15,35,7.134,222.945860469768
23,296.15,35,7.009,219.0394639799
24,297.15,35,6.888,215.258072177707
25,298.15,35,6.771,211.60168506319
26,299.15,35,6.658,208.070302636349
27,300.15,35,6.548,204.632673725265
28,301.15,35,6.441,201.288798329938
29,302.15,35,6.337,198.038676450367
30,303.15,35,6.236,194.882308086554
31,304.15,35,6.138,191.819693238497
32,305.15,35,6.042,188.819580734278
33,306.15,35,5.949,185.913221745816
34,307.15,35,5.858,183.069365101192
35,308.15,35,5.769,180.288010800405
36,309.15,35,5.682,177.569158843457
37,310.15,35,5.597,174.912809230346
38,311.15,35,5.514,172.318961961074
39,312.15,35,5.432,169.75636586372
40,313.15,35,5.352,167.256272110204
0,273.15,40,11.051,345.356700876283
1,274.15,40,10.773,336.668875082816
2,275.15,40,10.507,328.356063352376
3,276.15,40,10.252,320.387014513045
4,277.15,40,10.008,312.761728564822
5,278.15,40,9.774,305.448954335788
6,279.15,40,9.55,298.448691825944
7,280.15,40,9.335,291.72968986337
8,281.15,40,9.128,285.260697276148
9,282.15,40,8.93,279.072965236197
10,283.15,40,8.739,273.103991399678
11,284.15,40,8.556,267.385026938511
12,285.15,40,8.379,261.853569508857
13,286.15,40,8.21,256.572121454555
14,287.15,40,8.046,251.446929259848
15,288.15,40,7.889,246.540495268573
16,289.15,40,7.737,241.790317136893
17,290.15,40,7.59,237.196394864808
18,291.15,40,7.449,232.789979624236
19,292.15,40,7.312,228.50856907134
20,293.15,40,7.18,224.383414378039
21,294.15,40,7.052,220.383264372414
22,295.15,40,6.929,216.539370226384
23,296.15,40,6.809,212.78922959611
24,297.15,40,6.693,209.164093653512
25,298.15,40,6.581,205.66396239859
26,299.15,40,6.472,202.257584659425
27,300.15,40,6.366,198.944960436017
28,301.15,40,6.264,195.757340900284
29,302.15,40,6.164,192.632223708389
30,303.15,40,6.067,189.600860032251
31,304.15,40,5.972,186.631998699952
32,305.15,40,5.88,183.756890883408
33,306.15,40,5.79,180.944285410703
34,307.15,40,5.702,178.194182281836
35,308.15,40,5.617,175.537832668725
36,309.15,40,5.533,172.912734227534
37,310.15,40,5.451,170.35013813018
38,311.15,40,5.371,167.850044376664
39,312.15,40,5.293,165.412452966986
40,313.15,40,5.215,162.974861557309
